,ACTIVITY DESC,lon,lat
89,CONSTRUCTION,-117.151276,32.809036
90,LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),-117.15446,32.80707
91,OFFICES OF DENTISTS,-117.06784,32.987423
92,BREWERIES,-117.165855,32.88269
93,LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),-117.23435,32.71817
94,MOTION PICTURE & VIDEO PRODUCTION,-117.13679,32.745026
95,ACTIVITIES RELATED TO REAL ESTATE,-117.158195,32.918766
96,FURNITURE STORES,-117.147514,32.89262
97,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.0789,32.72452
98,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.180405,32.746708
99,POOL CLEANING & MAINTENANCE,-117.140755,32.93428
100,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.22173,32.73589
101,LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),-117.12089,32.813377
102,REAL ESTATE & RENTAL & LEASING,-117.12089,32.813377
103,RENTAL & LEASING SERVICES,-117.195175,32.750828
104,JANITORIAL SERVICES,-117.17016,32.77181
105,PLUMBING & HEATING EQUIPMENT & SUPPLIES WHSLE,-117.05062,32.553192
106,LOCAL MESSENGERS & LOCAL DELIVERY,-117.06921,32.74713
107,ALL OTHER SPECIAL TRADE CONTRACTORS,-117.06157,32.75374
108,ALL OTHER MISC STORE RETAILERS (EXC TOBACCO),-117.13677,32.96537
109,CONSULTING SERVICES,-117.218185,32.95959
110,SCIENTIFIC R&D SERVICES,-117.229965,32.905094
111,OTHER MOTOR VEHICLE DEALERS,-117.15256,32.8909
112,INSURANCE CARRIERS & RELATED ACTIVITIES,-117.188,32.834473
113,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.14587,32.830906
114,TRANSPORTATION SUPPORT ACTIVITIES,-116.9798,32.559143
115,RELIGIOUS ORGANIZATIONS,-117.07005,32.98748
116,PERSONAL FITNESS TRAINER,-117.09622,32.777798
117,CONSULTING SERVICES,-117.13901,32.809723
118,"BEER, WINE & LIQUOR STORES",-117.08549,32.75697
119,OTHER MISCELLANEOUS NONDURABLE GOODS WHSLE,-117.09203,32.61134
120,FULL-SERVICE RESTAURANTS,-117.09868,32.90338
121,ACTIVITIES RELATED TO REAL ESTATE,-117.167625,32.738953
122,ACTIVITIES RELATED TO REAL ESTATE,-117.167625,32.738953
123,ADVERTISING & RELATED SERVICES,-117.19135,32.75035
124,BUSINESS SUPPORT SERVICES,-117.24066,32.948536
125,ALL OTHER INFORMATION SERVICES,-117.11377,32.768856
126,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.105,32.757713
127,EDUCATIONAL SUPPORT SERVICES,-117.209625,32.841324
128,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.244804,32.71137
129,MOBILE DETAILING,-117.10238,32.69477
130,MOTION PICTURE & SOUND RECORDING INDUSTRIES,-117.06609,32.749466
131,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.138145,32.709972
132,GENERAL MERCHANDISE STORES,-117.09359,32.736286
133,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.158424,32.828827
134,OFFICES OF REAL ESTATE APPRAISERS,-117.117035,32.938934
135,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.203445,32.762383
136,OTHER SERVICES RELATED TO ADVERTISING,-117.22884,32.84724
137,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.12148,32.82694
138,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.09901,33.096306
139,RECREATIONAL GOODS RENTAL,-117.08506,32.647495
140,MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES,-117.2082,32.964363
141,FREIGHT TRANSPORTATION ARRANGEMENT,-116.94405,32.551765
142,GASOLINE STATIONS WITH CONVENIENCE STORES,-117.11186,33.015327
143,OTHER PERSONAL & HOUSEHOLD GOODS R&M,-117.131485,33.018024
144,ALL OTHER AUTOMOTIVE R&M,-117.16628,32.87849
145,COMMERCIAL SCREEN PRINTING,-117.28164,33.04684
146,CONSULTING SERVICES,-117.11828,32.890392
147,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.16157,32.743015
148,RENTAL & LEASING SERVICES,-117.224106,32.845695
149,MOTION PICTURE & VIDEO PRODUCTION,-118.1804,33.800762
150,CLOTHING STORES,-117.10219,32.74963
151,MISCELLANEOUS STORE RETAILERS,-117.15712,32.712593
152,OTHER DIRECT SELLING ESTABLISHMENTS,-117.059364,32.756496
153,ALL OTHER BUSINESS SUPPORT SERVICES,-117.1546,32.83474
154,PERSONAL FITNESS TRAINER,-117.16703,32.8226
155,SCENIC & SIGHTSEEING TRANSPORTATION,-117.12768,32.74923
156,OTHER PERSONAL SERVICES,-117.13423,32.838417
157,MOBILE DETAILING,-116.91452,32.864002
158,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.05089,32.768635
159,NAIL SALONS,-117.24694,32.79844
160,BOAT DEALERS,-117.224304,32.71861
161,ACTIVITIES RELATED TO REAL ESTATE,-117.23533,32.718395
162,ALL OTHER MISCELLANEOUS SCHOOLS & INSTRUCTION,-117.22907,32.94667
163,LIMITED-SERVICE RESTAURANTS,-117.06995,32.772083
164,OTH BUSINESS SERVICE CENTERS (INCL COPY SHOPS,-117.21991,32.73553
165,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.167625,32.738953
166,MOBILE DETAILING,-117.13228,32.711647
167,ALL OTHER TRANSIT & GROUND PASSENGER TRANS,-117.08359,32.7596
168,BOAT DEALERS,-117.21674,32.73431
169,ALL OTHER PERSONAL SERVICES,-117.147995,32.929424
170,AGENTS/MANAGERS FOR ARTISTS & OTH PUBLIC FIGU,-117.12712,32.73802
171,REAL ESTATE PROPERTY MANAGERS,-116.97673,32.78933
172,OTHER PERSONAL CARE SERVICES,-117.17331,32.90721
173,FINE ARTS SCHOOLS,-117.07153,32.562885
174,FOOD (HEALTH) SUPPLEMENT STORES,-117.217514,32.80638
175,"PHOTOGRAPHY STUDIOS, PORTRAIT",-117.06859,32.81129
176,LANDSCAPING SERVICES,-117.090965,32.69681
177,OTHER COMPUTER RELATED SERVICES,-117.180824,32.969204
178,FULL-SERVICE RESTAURANTS,-117.08411,32.584362
179,FOOD SERVICES & DRINKING PLACES,-117.147705,32.70115
180,TRANSPORTATION SUPPORT ACTIVITIES,-117.13735,32.70213
181,INVESTIGATION & SECURITY SERVICES,-117.112785,32.960846
182,CONVENIENCE STORES,-117.06995,32.771835
183,CONVENIENCE STORES,-117.19323,32.7971
184,CONVENIENCE STORES,-117.23453,32.7992
185,CONVENIENCE STORES,-117.15967,32.71676
186,CONVENIENCE STORES,-117.24741,32.949482
187,ALL OTHER GENERAL MERCHANDISE STORES,-117.18063,32.816875
188,CONVENIENCE STORES,-117.16095,32.73872
189,CONVENIENCE STORES,-117.08347,32.757248
190,CONVENIENCE STORES,-117.24679,32.751827
191,CONVENIENCE STORES,-117.163734,32.749912
192,CONVENIENCE STORES,-117.140045,32.804512
193,CONVENIENCE STORES,-117.09118,33.005566
194,CONVENIENCE STORES,-117.13149,32.831406
195,CONVENIENCE STORES,-117.20107,32.746517
196,GASOLINE STATIONS WITH CONVENIENCE STORES,-117.162,32.970154
197,CONVENIENCE STORES,-117.10077,32.781815
198,GASOLINE STATIONS,-117.0929,32.58377
199,CONVENIENCE STORES,-117.100975,32.738632
200,CONVENIENCE STORES,-117.07963,32.57647
201,CONVENIENCE STORES,-117.045456,32.803177
202,CONVENIENCE STORES,-117.01417,32.80027
203,CONVENIENCE STORES,-117.058975,32.745758
204,CONVENIENCE STORES,-117.10773,32.951584
205,CONVENIENCE STORES,-117.2188,32.8061
206,CONVENIENCE STORES,-117.15476,32.816486
207,CONVENIENCE STORES,-117.090324,32.964355
208,CONVENIENCE STORES,-117.03406,32.54768
209,CONVENIENCE STORES,-117.097694,32.789856
210,CONVENIENCE STORES,-117.20403,32.790524
211,ALL OTHER AUTOMOTIVE R&M,-117.15278,32.821766
212,"WHOLESALE TRADE, DURABLE GOODS",-117.222534,32.944534
213,CONVENIENCE STORES,-117.129585,32.728115
214,GROCERY STORES,-117.14391,32.75525
215,GROCERY STORES,-117.119606,32.763344
216,GASOLINE STATIONS WITH CONVENIENCE STORES,-116.96278,32.56766
217,"BEER, WINE & LIQUOR STORES",-117.09016,32.977505
218,CONVENIENCE STORES,-117.217415,32.80376
219,CONVENIENCE STORES,-117.12895,32.762554
220,CONVENIENCE STORES,-117.20783,32.75033
221,CONVENIENCE STORES,-117.140755,32.7158
222,GROCERY STORES,-117.14452,32.905342
223,CONVENIENCE STORES,-117.082504,32.790913
224,CONVENIENCE STORES,-117.20697,32.75256
225,GASOLINE STATIONS WITH CONVENIENCE STORES,-117.09908,32.8223
226,CONVENIENCE STORES,-117.057106,32.767075
227,GENERAL MERCHANDISE STORES,-117.12124,32.80829
228,CONVENIENCE STORES,-117.25431,32.805473
229,CONVENIENCE STORES,-117.08076,32.805977
230,GROCERY STORES,-117.139786,32.76095
231,CONVENIENCE STORES,-117.22856,32.802498
232,CONVENIENCE STORES,-117.24615,32.79861
233,CONVENIENCE STORES,-117.224525,32.730103
234,CONVENIENCE STORES,-117.15991,32.71676
235,GENERAL MERCHANDISE STORES,-117.1559,32.793056
236,CIVIC & SOCIAL ORGANIZATIONS,-117.08437,33.014084
237,SERVICES FOR ELDERLY & DISABLED PERSONS,-117.0108,32.738735
238,RETAIL SALES VIA INTERNET/WEBSITES,-117.009224,32.80296
239,ALL OTHER PERSONAL SERVICES,-117.05386,32.767567
240,ALL OTHER TRAVELER ACCOMMODATION,-117.251625,32.762444
241,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.15668,32.77089
242,"SPORTING GOODS, HOBBY, BOOK & MUSIC STORES",-117.11184,32.752045
243,REAL ESTATE,-117.21735,32.895016
244,LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),-117.157585,32.800804
245,LIMITED-SERVICE EATING PLACES,-117.09384,32.74956
246,LESSORS OF OTHER REAL ESTATE PROPERTY,-117.14765,32.88696
247,ALL OTHER PERSONAL SERVICES,-117.2255,32.860626
248,FULL-SERVICE RESTAURANTS,-117.159874,32.71363
249,RENTAL & LEASING SERVICES,-117.210434,32.7404
250,AGENTS/MANAGERS FOR ARTISTS & OTH PUBLIC FIGU,-117.169174,32.717896
251,WOOD PRODUCT MFG,-117.06771,33.02542
252,RENTAL & LEASING SERVICES,-117.16272,32.708046
253,FOOD SERVICES & DRINKING PLACES,-117.25441,32.796803
254,DRYCLEANING & LAUNDRY SERVICES,-117.07779,32.980724
255,DRYCLEANING & LAUNDRY SERVICES,-117.09781,32.7912
256,YOGA INSTRUCTOR,-117.21419,32.866676
257,MARTIAL ARTS INSTRUCTOR,-117.043144,32.672924
258,OTHER PERSONAL & HOUSEHOLD GOODS R&M,-117.10455,32.735424
259,ACTIVITIES RELATED TO REAL ESTATE,-117.13566,32.821484
260,LANDSCAPING SERVICES,-117.114334,32.750183
261,MISCELLANEOUS STORE RETAILERS,-117.0001,32.645374
262,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.13055,32.83838
263,OFFICES OF REAL ESTATE AGENTS & BROKERS,-117.15971,32.717815
264,ACCOMMODATION,-117.22371,32.819263
265,"WHOLESALE TRADE, NONDURABLE GOODS",-117.03663,33.279263
266,REAL ESTATE PROPERTY MANAGERS,-117.12326,32.94804
267,FULL-SERVICE RESTAURANTS,-117.137726,32.820686
268,GENERAL MERCHANDISE STORES,-117.08696,32.671196
269,GROCERY STORES,-117.20174,32.830444
270,GENERAL MERCHANDISE STORES,-117.03762,32.550426
271,GROCERY STORES,-117.16046,32.832676
272,CLOTHING & CLOTHING ACCESSORIES STORES,-117.13007,32.746838
273,SPORTS & RECREATION INSTRUCTION,-117.14903,32.820267
274,FITNESS & RECREATIONAL SPORTS CENTERS,-117.15113,32.711536
275,PET CARE (EXCEPT VETERINARY) SERVICES,-117.13624,32.95047
276,OTHER SPECIAL TRADE CONTRACTORS,-117.032845,33.24644
277,COMMERCIAL EQUIPMENT (EXC AUTO & ELEC) R&M,-117.03373,32.68658
278,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.17728,32.90062
279,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.15621,32.71677
280,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.188934,32.89934
281,TIRE DEALERS,-116.96337,32.56767
282,GENERAL AUTOMOTIVE REPAIR,-117.18043,32.738827
283,TAXI SERVICE,-117.12233,32.930492
284,MOTOR VEHICLE/MOTOR VEHICLE PT & SUPPLY WHSLE,-117.13271,32.705357
285,"PLUMBING, HEATING & AC CONTRACTOR",-116.85895,33.071156
286,TRUCK TRANSPORTATION,-117.38276,33.673355
287,SERVICES TO BUILDINGS & DWELLINGS,-116.984436,32.708942
288,MISCELLANEOUS INTERMEDIATION,-117.17104,32.912273
289,JANITORIAL SERVICES,-116.99238,32.709908
290,TEXTILE MILLS,-117.05394,32.554615
291,CONCRETE CONTRACTORS,-116.985916,32.613293
292,JANITORIAL SERVICES,-117.05329,32.55951
293,OTHER MISCELLANEOUS STORE RETAILERS,-117.057594,33.040928
294,"APPAREL, PIECE GOODS & NOTIONS WHSLE",-117.06553,32.572655
295,NURSERY & GARDEN CENTERS,-117.02303,33.100574
296,TAXI SERVICE,-117.12644,32.75114
297,"GENERAL FREIGHT TRUCKING, LOCAL",-116.95462,32.553223
298,RUBBER PRODUCT MFG,-117.22309,32.9465
299,ALL OTHER SPECIAL TRADE CONTRACTORS,-117.48059,34.011795
300,JANITORIAL SERVICES,-117.05756,32.692917
301,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.05049,32.62145
302,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-117.12315,32.9627
303,ON-LINE INFORMATION SERVICES,-117.12771,32.75307
304,BEAUTY SALONS,-117.139786,32.760933
305,AUTOMOTIVE R&M,-117.09791,32.783924
306,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-116.92983,32.554287
307,JANITORIAL SERVICES,-117.128395,32.700138
308,ACTIVITIES RELATED TO REAL ESTATE,-117.088,32.56328
309,CLOTHING ACCESSORIES STORES,-117.0885,32.594933
310,GENERAL FREIGHT TRUCKING,-117.047966,32.555992
311,AUTOMOTIVE R&M,-117.15828,32.884796
312,OTHER SPECIAL TRADE CONTRACTORS,-118.215965,33.88799
313,ALL OTHER TRANSIT & GROUND PASSENGER TRANS,-116.972885,32.87095
314,TAXI & LIMOUSINE SERVICE,-117.046684,32.746204
315,ALL OTHER PERSONAL SERVICES,-117.06562,32.55767
316,USED CAR DEALERS,-117.09612,32.583775
317,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.15442,32.77687
318,MOTOR VEHICLE TOWING,-117.249794,32.74995
319,ALL OTHER GENERAL MERCHANDISE STORES,-117.09533,32.959244
320,LESSORS OF MINIWAREHOUSE & SELF STORAGE UNITS,-117.17255,32.726856
321,ALL OTHER AUTOMOTIVE R&M,-117.00299,32.745773
322,OFFICES OF LAWYERS,-117.31332,33.102238
323,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.140274,32.716396
324,MEDICAL & DIAGNOSTIC LABORATORIES,-117.16258,32.969707
325,OTHER SPECIALTY FOOD STORES,-117.134384,32.70007
326,JANITORIAL SERVICES,-117.08059,32.678432
327,JANITORIAL SERVICES,-117.062935,32.701073
328,CARPET & UPHOLSTERY CLEANING SERVICES,-116.960785,32.65255
329,ELECTRICAL CONTRACTORS,-117.05989,32.701344
330,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-116.90301,32.86048
331,"PLUMBING, HEATING & AC CONTRACTOR",-117.041824,32.647457
332,SPORTING GOODS STORES,-117.12898,32.748447
333,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.1268,32.695965
334,MASSAGE THERAPY,-117.09868,32.78771
335,ENGINEERING SERVICES,-117.17228,32.81449
336,ELECTRICAL CONTRACTORS,-117.03806,32.742615
337,COMMERCIAL EQUIPMENT (EXC AUTO & ELEC) R&M,-116.924416,32.87401
338,TRANSIT & GROUND PASSENGER TRANSPORTATION,-117.21758,32.83724
339,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.23208,32.937702
340,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.00468,32.771893
341,JANITORIAL SERVICES,-117.024284,32.801014
342,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE,-117.12984,32.95565
343,NONSTORE RETAILERS,-117.0194,32.62907
344,WINDOW TREATMENT STORES,-117.17766,32.82029
345,OTHER MANAGEMENT CONSULTING SERVICES,-117.21784,32.74202
346,EDUCATIONAL SUPPORT SERVICES,-117.0295,32.72178
347,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.08644,32.69811
348,ELECTRICAL CONTRACTORS,-117.04743,32.941074
349,TAXI SERVICE,-117.05903,32.956524
350,ALL OTHER PERSONAL SERVICES,-117.09535,32.82601
351,SERVICES FOR ELDERLY & DISABLED PERSONS,-117.04261,32.656765
352,JANITORIAL SERVICES,-117.13182,32.752213
353,CHILD DAY CARE SERVICES,-117.13281,32.977192
354,JANITORIAL SERVICES,-117.08338,32.917408
355,JANITORIAL SERVICES,-117.248955,33.05545
356,JANITORIAL SERVICES,-117.05975,32.561848
357,OTHER SPECIALIZED DESIGN SERVICES,-117.23138,32.911667
358,CONCRETE CONTRACTORS,-116.931175,32.866966
359,ANIMAL PRODUCTION SUPPORT ACTIVITIES,-117.131165,32.75033
360,ALL OTHER LEGAL SERVICES,-117.15507,32.77365
361,EDUCATIONAL SERVICES,-117.20763,32.777588
362,ALL OTHER PERSONAL SERVICES,-117.250374,32.9319
363,RESIDENTIAL BUILDING CONSTRUCTION,-117.027664,33.23112
364,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.181984,32.819527
365,ALL OTHER PERSONAL SERVICES,-117.25394,32.73832
366,ARCHITECTURAL SERVICES,-117.17331,32.90721
367,SPECIAL TRADE CONTRACTORS,-117.08118,32.63051
368,CONCRETE CONTRACTORS,-117.016205,32.629128
369,INDIVIDUAL & FAMILY SERVICES,-117.2009,32.9019
370,FLOOR LAYING & OTHER FLOOR CONTRACTORS,-117.15337,32.8916
371,OTHER SPECIAL TRADE CONTRACTORS,-116.9216,32.858738
372,GLASS & GLAZING CONTRACTORS,-116.96774,32.729282
373,ALL OTHER MISCELLANEOUS STORE RETAILERS,-117.147385,32.702274
374,BUSINESS TAX EXEMPT,-117.06372,32.803894
375,OTHER INDIVIDUAL & FAMILY SERVICES,-117.15317,32.782715
376,"ROOFING, SIDING & SHEET METAL CONTRACTORS",-116.92498,32.858173
377,CUSTOM COMPUTER PROGRAMMING SERVICES,-117.220085,32.915295
378,CANNABIS OUTLET,-116.93743,32.555786
379,BARBER SHOPS,-117.2505,32.767735
380,PERSONAL FITNESS TRAINER,-116.985344,32.613823
381,NONSTORE RETAILERS,-117.20169,32.822266
382,CHILD DAY CARE SERVICES,-117.21674,32.73431
383,ALL OTH MISC AMBULATORY HEALTH CARE SERVICES,-117.15239,32.832745
384,TAXI SERVICE,-117.033806,32.7053
385,REAL ESTATE,-117.2265,33.00903
386,OTHER WOOD PRODUCT MFG,-117.16258,32.905243
387,MASONRY & STONE CONTRACTORS,-117.0953,33.097633
388,ELECTRICAL CONTRACTORS,-117.80759,33.71602
389,FLORISTS,-117.05927,32.696518
390,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.166595,32.781647
391,"WHOLESALE TRADE, DURABLE GOODS",-117.224205,32.929775
392,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.21238,32.82734
393,EXAM PREPARATION & TUTORING,-117.198265,32.819263
394,LOCKSMITHS,-117.03114,32.61027
395,BUSINESS TAX EXEMPT - FINANCIAL CORP,-117.143135,32.809654
396,OTHER MISCELLANEOUS STORE RETAILERS,-117.232254,32.720917
397,LOCKSMITHS,-116.94325,32.84245
398,ALL OTHER PERSONAL SERVICES,-117.13452,32.718967
399,OTHER PERSONAL SERVICES,-117.24158,32.8036
400,LANDSCAPING SERVICES,-117.17518,32.769554
401,OTHER FOOD CROPS GROWN UNDER COVER,-117.099754,32.732544
402,OTHER INDIVIDUAL & FAMILY SERVICES,-117.10644,32.77022
403,NONSTORE RETAILERS,-117.13267,32.777576
404,MANAGEMENT CONSULTING SERVICES,-117.11247,32.922935
405,MOTION PICTURE & VIDEO PRODUCTION,-117.23141,32.72284
406,INTERIOR DESIGN SERVICES,-117.05886,32.924126
407,OFFICE SUPPLIES & STATIONERY STORES,-116.93395,32.555252
408,WHOLESALE TRADE,-117.105446,32.837154
409,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.15442,32.77687
410,LANDSCAPING SERVICES,-117.10225,32.730198
411,ALL OTHER SPECIAL TRADE CONTRACTORS,-116.92651,32.862686
412,ENGINEERING SERVICES,-117.0306,32.96387
413,GROCERY STORES,-117.15344,32.706272
414,MISCELLANEOUS STORE RETAILERS,-117.19982,32.755558
415,EXAM PREPARATION & TUTORING,-117.12329,32.89781
416,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.171814,32.807903
417,REPAIR & MAINTENANCE,-117.26364,33.631866
418,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,-117.17655,32.82643
419,CATERERS,-116.98147,32.75637
420,GENERAL AUTOMOTIVE REPAIR,-117.11749,32.749756
421,SHOE STORES,-117.10081,32.93732
422,OTHER INDIVIDUAL & FAMILY SERVICES,-117.24882,32.932205
423,BEAUTY SALONS,-117.08514,32.93103
