,Unnamed: 0,BUSINESS ACCT#,DBA NAME,OWNERSHIP TYPE,ACTIVITY DESC,lon,lat
51,51,2015022715,20/20 PLUMBING & HEATING INC,SCORP,CONSTRUCTION,-117.456245,33.960803999999996
52,52,1994008090,2000 DREAMS BRIDAL INC,CORP,CLOTHING,-117.15489,32.818000000000005
53,53,2019008888,2020DRAINGUYS,SOLE,other services to buildings & dwellings,-117.09493,32.945705
54,54,2006014600,2101 ADAMS LLC,LLC,PROPERTY SERVICES,-117.14241000000001,32.762768
55,55,2018020204,21K JEWELERS,LLC,RETAILERS,-117.13515,32.760529999999996
56,56,2007000179,220 GROUP LLC,LLC,COMPUTERS,-117.21390500000001,32.748886
57,57,2017017001,227 INFOSEC INC,SCORP,consulting services,-117.07406,33.012882
58,58,2011000860,24 HOUR ELEVATOR INC,CORP,CONSTRUCTION,-117.14883400000001,32.829792
59,59,2012025799,24 HOUR EMERGENCY GLASS,SOLE,all other personal services,-117.07204399999999,32.76572
60,60,2018022668,24 HOUR FITNESS,CORP,FITNESS SERVICES,-117.00813000000001,32.802902
61,61,1980469993,24 HOUR FITNESS #109,CORP,FITNESS SERVICES,-117.1106,32.781867999999996
62,62,1985009545,24 HOUR FITNESS #94,CORP,personal care services,-117.12166,32.893803000000005
63,63,2000004486,24 HOUR FITNESS INC,CORP,FITNESS SERVICES,-117.253395,32.79702
64,64,1991000106,24 HOUR FITNESS INC #103,CORP,FITNESS SERVICES,-117.21623999999998,32.752804
65,65,1998006956,24 HOURS PLUMBING,SOLE,janitorial services,-117.0591,32.742252
66,66,2004015547,24 HRS OCEAN BEACH TATTOO & BODY PIERRING,SOLE,tattoo parlors,-117.22774,32.7263
67,67,2012031177,24-7 MOVING & STORAGE INC,CORP,used household & office goods moving,-117.14671000000001,32.774277000000005
68,68,2017007937,24/7 PACIFIC SUPERVISED VISITATION SERVICES LLC,LLC,individual & family services,-117.04553,32.552723
69,69,2010022227,24/7 TRUCKING INC,CORP,other business services,-117.05515,32.704796
70,70,2007027363,247 COMPUTER SOLUTIONS,SOLE,COMPUTERS,-117.07339499999999,32.581309999999995
71,71,2004008754,2505 CONGRESS INC,CORP,CONSTRUCTION,-117.19571,32.75203
72,72,2008001602,25TH STREET FAMILY MEDICINE,NO/PRF,NON-PROFIT,-116.472824,32.63009
73,73,2005011793,2719 INC,CORP,PROPERTY SERVICES,-117.21582,32.752544
74,74,2007024210,2C COMMUNICATIONS,SOLE,ART AND PHOTOGRAPHY,-117.2324,32.955593
75,75,2019002331,2DI4 JEWELRY,SOLE,RETAILERS,-117.12886,32.71692
76,76,1999002376,2EARN,SOLE,COMPUTERS,-117.1399,32.908409999999996
77,77,2018011537,2J ANTENNAS USA CORPORATION,CORP,WHOLESALE,-117.19733400000001,32.904144
78,78,2013041987,2KIDS BREWING COMPANY,H-W,breweries,-117.137825,32.895878
80,80,2012055900,2SYNERGIZE INC,CORP,marketing consulting services,-117.06438,33.043114
81,81,2017008561,3 AMIGOS RECYCLING,SOLE,materials recovery facilities,-117.02582,32.71758
82,82,2018009996,3 DAY BLINDS LLC,LLC,RETAILERS,-117.7516,33.668766
83,83,2014024395,3 IN 1 BATHTUB AND KITCHEN REFINISHING INC,SCORP,CONSTRUCTION,-117.06618999999999,32.603027000000004
84,84,2018020689,3 J'S SWEET TREATS,SOLE,FOOD SERVICES,-117.075905,32.7254
85,85,2016016937,3 JEL HOLDINGS LLC,LLC,PROPERTY SERVICES,-117.10771000000001,32.936671999999994
86,86,2018015410,3 LADYBIRDS ART,SOLE,ART AND PHOTOGRAPHY,-117.094154,32.761559999999996
87,87,1989005369,3 VOLT ELECTRIC,SOLE,CONSTRUCTION,-117.10223,33.16062
88,88,2018004789,3-D DOOR INC,CORP,CONSTRUCTION,-117.92686499999999,33.712013
89,89,1994008349,3-D ENTERPRISES,CORP,CONSTRUCTION,-117.151276,32.809036
90,90,2018021131,30NP LLC,LLC,PROPERTY SERVICES,-117.15446000000001,32.80707
91,91,2012067180,32 DENTAL ARTS,SOLE,offices of dentists,-117.06783999999999,32.987423
92,92,2014017421,32 NORTH BREWING CO,LLC,breweries,-117.16585500000001,32.882690000000004
93,93,2016017092,3366 5TH AVENUE LLC,LLC,PROPERTY SERVICES,-117.23435,32.71817
94,94,2014021731,35 PACES PRODUCTIONS,SOLE,ART AND PHOTOGRAPHY,-117.13678999999999,32.745026
95,95,2016023395,360  HOME  INSPECTION,SOLE,PROPERTY SERVICES,-117.15819499999999,32.918766
96,96,2016024566,360 BUSINESS PRODUCTS,SCORP,FURNITURE,-117.14751399999999,32.89262
97,97,2018020765,360CCS/ 360 CONSTRUCTION CLEANING SERVICES,SOLE,other services to buildings & dwellings,-117.0789,32.72452
98,98,2008009647,3630 BAYSIDE LLC,LLC,PROPERTY SERVICES,-117.18040500000001,32.746708
99,99,2009035271,365 POOL SERVICES,SOLE,CLEANING SERVICES,-117.140755,32.93428
100,100,2008023803,3767 VOLTAIRE LLC,LLC,PROPERTY SERVICES,-117.22173000000001,32.735890000000005
101,101,2011027310,3777 RUFFIN ROAD LLC,LLC,PROPERTY SERVICES,-117.12088999999999,32.813377
102,102,2007016213,3855 RUFFIN ROAD LLC,LLC,PROPERTY SERVICES,-117.12088999999999,32.813377
103,103,2016000286,3920 CONDE STREET LLC,LLC,PROPERTY SERVICES,-117.195175,32.750828000000006
104,104,1993002034,3A'S MAINTENANCE,SOLE,janitorial services,-117.17016000000001,32.771809999999995
106,106,2018021765,3D DELIVERY,SOLE,local messengers & local delivery,-117.06921000000001,32.74713
107,107,2004004889,3D ENVIRONMENTAL INC,SCORP,CONSTRUCTION,-117.06156999999999,32.75374
108,108,2015051191,3D FLEX FLASH,SOLE,RETAILERS,-117.13677,32.96537
109,109,2011011092,3D PHARMACEUTICAL CONSULTANTS INC,CORP,consulting services,-117.218185,32.959590000000006
110,110,2014016350,3DT HOLDINGS LLC,LLC,SCIENCE,-117.22996499999999,32.905094
111,111,2004011871,3DYN LLC,LLC,AUTOMOTIVE,-117.15256000000001,32.8909
112,112,2019007832,3LX INSURANCE AGENCY,LLC,INSURANCE,-117.18799999999999,32.834472999999996
113,113,1987014161,3RD GENERATION EMBROIDERY INC,CORP,SCIENCE,-117.14587,32.830906
114,114,2019000233,3V TRANSPORT LLC,LLC,TRANSPORTATION,-116.9798,32.559143
115,115,2006003927,4 CHRIST MISSION,CORP,religious organizations,-117.07005,32.98748
116,116,2015039381,4 LEAF FITNESS,SOLE,FITNESS SERVICES,-117.09622,32.777798
117,117,2010004673,4 LIBERTY INC,SCORP,consulting services,-117.13901000000001,32.809723
118,118,2008010835,4 SEASON MARKET,CORP,BARS,-117.08549,32.75697
119,119,2014014763,4-PAW TREATS INC,CORP,WHOLESALE,-117.09203000000001,32.611340000000006
120,120,2019004861,40 N PHO & GRILLE,LLC,FOOD SERVICES,-117.09868,32.90338
121,121,2008023476,4081 ARIZONA STREET LLC,LLC,PROPERTY SERVICES,-117.167625,32.738953
122,122,2008023478,4084 IOWA STREET LLC,LLC,PROPERTY SERVICES,-117.167625,32.738953
123,123,2018002119,41 ORANGE LLC,LLC,advertising & related services,-117.19135,32.75035
124,124,2007014990,411 14TH STREET INC,SCORP,business support services,-117.24066,32.948536
125,125,2003003979,428 DESIGNS,CORP,all other information services,-117.11377,32.768856
126,126,1994008473,42ND STREET PRODUCTIONS,SOLE,SCIENCE,-117.105,32.757713
127,127,2008010093,4311 LLC,LLC,EDUCATION,-117.209625,32.841324
128,128,2004015514,4325 OCEAN BOULEVARD LLC ,LLC,PROPERTY SERVICES,-117.244804,32.71137
129,129,2018018600,43RD WASH AND WAX,SOLE,mobile detailing,-117.10238000000001,32.69477
130,130,2013067769,4444 MEDIA,SOLE,ART AND PHOTOGRAPHY,-117.06608999999999,32.749466
131,131,2012014917,446 26TH STREET HOLDINGS LLC,LLC,PROPERTY SERVICES,-117.138145,32.709972
132,132,2003022956,45 GRAPHICS,SOLE,RETAILERS,-117.09358999999999,32.736286
133,133,2014025084,4797 RUFFNER STREET LLC,LLC,PROPERTY SERVICES,-117.158424,32.828827000000004
134,134,2007023720,48 HOUR INSPECTION AND APPRAISAL,SOLE,PROPERTY SERVICES,-117.11703500000002,32.938934
135,135,2007018487,4891 PCH LLC,LLC,PROPERTY SERVICES,-117.203445,32.762383
136,136,2016019583,49 SEO SERVICES,H-W,other services related to advertising,-117.22883999999999,32.84724
137,137,1998011187,4990 VIEWRIDGE LLC,CORP,PROPERTY SERVICES,-117.12148,32.82694
138,138,2001003802,4DSTUDIO,SOLE,COMPUTERS,-117.09901,33.096306
139,139,2019005360,4KIDS JUMPERS,PARTNR,PROPERTY SERVICES,-117.08506000000001,32.647495
141,141,2019000385,4M WORLD BROKERS INC,CORP,TRANSPORTATION,-116.94405,32.551765
142,142,2006004797,4S RANCH GASOLINE & CAR WASH,LP,RETAILERS,-117.11186000000001,33.015327
143,143,2008009300,4S RANCH HANDYMAN,SOLE,REPAIR SERVICES,-117.13148500000001,33.018024
144,144,2014040135,4S TINT/ MIRAMAR CAR AUDIO,H-W,AUTOMOTIVE,-117.16628,32.87849
146,146,2019004230,4SUNRISE,SOLE,consulting services,-117.11828,32.890392
147,147,2007015082,4TH AVE PARTNERS LLC,LLC,SCIENCE,-117.16157,32.743015
148,148,2009001176,4TH AVENUE BUILDING LLC,LLC,PROPERTY SERVICES,-117.224106,32.845695
149,149,2018017892,4TH STREET PRODUCTIONS,SOLE,ART AND PHOTOGRAPHY,-118.1804,33.800762
150,150,2015020065,4U ONLY ,CORP,CLOTHING,-117.10219,32.749629999999996
151,151,2005010555,5 & A DIME SAN DIEGO,SCORP,RETAILERS,-117.15711999999999,32.712593
152,152,2016011909,5 COUSINS,SOLE,other direct selling establishments,-117.05936399999999,32.756496000000006
153,153,1990008467,5 DAY REMODEL INC,CORP,all other business support services,-117.1546,32.834740000000004
154,154,2013002340,5 ELEMENT FITNESS,SOLE,FITNESS SERVICES,-117.16703000000001,32.8226
156,156,2003016575,5 POINT AUTO DETAIL AND 5 POINT MOBILE AUTO DETAIL,CORP,other personal services,-117.13423,32.838417
157,157,2017000258,5 STAR MOBILE DETAILING SMART DETAILING MOBILE,SOLE,mobile detailing,-116.91452,32.864002
158,158,2018016585,5 STARS KITCHEN AND BATH ,SOLE,"building, developing & general contracting",-117.05089,32.768634999999996
159,159,2015033132,5-STAR NAILS,SOLE,nail salons,-117.24694,32.79844
160,160,2014012682,50 NORTH YACHTS,LLC,boat dealers,-117.224304,32.71861
161,161,2007026517,5037 NEWPORT AVENUE LLC,LLC,PROPERTY SERVICES,-117.23533,32.718395
162,162,2011005086,505 LIVING,SOLE,EDUCATION,-117.22907,32.946670000000005
163,163,2018004936,55 THAI KITCHEN,LLC,FOOD SERVICES,-117.06995,32.772083
164,164,2012044294,56143: BUSINESS SERVICE CENTERS,CORP,oth business service centers (incl copy shops,-117.21991000000001,32.73553
165,165,2008023479,5801 NORHT SHARON AMITY ROAD LLC,LLC,PROPERTY SERVICES,-117.167625,32.738953
166,166,2019001123,5STAR AUTOMOTIVE,SOLE,mobile detailing,-117.13228000000001,32.711647
167,167,1999003410,5TH AVE CAB,SOLE,all other transit & ground passenger trans,-117.08358999999999,32.7596
168,168,2017007050,5TH AVENUE YACHTS,SOLE,boat dealers,-117.21673999999999,32.73431
169,169,2017019824,6 4 3 SPORTS,SOLE,all other personal services,-117.147995,32.929424
170,170,2018024926,6 8 PRODUCTIONS,SOLE,ART AND PHOTOGRAPHY,-117.12711999999999,32.73802
171,171,2006016398,600 FRONT APARTMENTS,PARTNR,PROPERTY SERVICES,-116.97673,32.78933
172,172,2017006925,619 CHAMPIONSHIP LLC,LLC,other personal care services,-117.17331000000001,32.90721
173,173,2018001554,619 DANCERS,SOLE,EDUCATION,-117.07153000000001,32.562884999999994
174,174,2014023201,619 MUSCLE INC,SCORP,FOOD SUPPLIER,-117.217514,32.80638
175,175,2015040225,619 PHOTOGRAPHY,SOLE,ART AND PHOTOGRAPHY,-117.06858999999999,32.81129
176,176,2019002806,619 SD LANDSCAPE,H-W,landscaping services,-117.090965,32.69681
177,177,2016018028,641 COMMUNICATIONS INC,CORP,COMPUTERS,-117.180824,32.969204
178,178,2017011529,664 TJ BIRRIERIA,SOLE,FOOD SERVICES,-117.08411000000001,32.584362
179,179,2018021093,664 TJ BIRRIERIA3,SOLE,FOOD SERVICES,-117.147705,32.70115
180,180,2018028199,67SIERRA CORP,SCORP,TRANSPORTATION,-117.13735,32.70213
181,181,2016016477,7 CROWNS SECURITY CONSULTANTS INC,CORP,investigation & security services,-117.112785,32.960846000000004
182,182,2003012791,7 ELEVEN #13633E,H-W,RETAILERS,-117.06995,32.771834999999996
183,183,2001011394,7 ELEVEN #19663F,CORP,RETAILERS,-117.19323,32.7971
184,184,2012068003,7 ELEVEN #2111-13596A,CORP,RETAILERS,-117.23453,32.7992
185,185,2005011306,7 ELEVEN #33569A,SOLE,RETAILERS,-117.15966999999999,32.71676
186,186,2008033164,7 ELEVEN 13628,H-W,RETAILERS,-117.24741000000002,32.949482
187,187,2000000194,7 ELEVEN 15046,SOLE,RETAILERS,-117.18063000000001,32.816875
188,188,2019001213,7 ELEVEN 18710D,SOLE,RETAILERS,-117.16095,32.73872
189,189,2013066201,7 ELEVEN 2111 13659G,CORP,RETAILERS,-117.08346999999999,32.757248
190,190,2012082223,7 ELEVEN 2111 24133,CORP,RETAILERS,-117.24678999999999,32.751827
191,191,2012063760,7 ELEVEN 2111 35860A,CORP,RETAILERS,-117.163734,32.749912
192,192,2009016307,7 ELEVEN 25165,SOLE,RETAILERS,-117.140045,32.804512
193,193,1996008238,7 ELEVEN 29144,CORP,RETAILERS,-117.09118000000001,33.005565999999995
194,194,2009035135,7 ELEVEN 33542,CORP,RETAILERS,-117.13148999999999,32.831406
195,195,2009013720,7 ELEVEN 34235,H-W,RETAILERS,-117.20107,32.746517
196,196,2010003696,7 ELEVEN 34358,CORP,RETAILERS,-117.162,32.970154
197,197,2018028109,7 ELEVEN 36751B,CORP,RETAILERS,-117.10077,32.781815
198,198,1996006696,7 ELEVEN 39093,CORP,gasoline stations,-117.0929,32.58377
199,199,1992001591,7 ELEVEN 39198,SOLE,RETAILERS,-117.100975,32.738632
200,200,2013033732,7 ELEVEN @2131-29370D,CORP,RETAILERS,-117.07963000000001,32.57647
201,201,2012017421,7 ELEVEN STORE #39529,CORP,RETAILERS,-117.045456,32.803177000000005
202,202,2007008655,7 ELEVEN STORE 13650A 2111,SOLE,RETAILERS,-117.01417,32.800270000000005
203,203,2014034705,7 ELEVEN STORE 19987C,CORP,RETAILERS,-117.058975,32.745758
204,204,2015046322,7 ELEVEN STORE 2017E,CORP,RETAILERS,-117.10773,32.951584000000004
205,205,2015015255,7 ELEVEN STORE 20337,CORP,RETAILERS,-117.2188,32.8061
206,206,2013066191,7 ELEVEN STORE 2111 33100B,CORP,RETAILERS,-117.15476000000001,32.816486
207,207,2013066198,7 ELEVEN STORE 2112 36112A,CORP,RETAILERS,-117.090324,32.964355
208,208,2011034404,7 ELEVEN STORE 2131-34700,CORP,RETAILERS,-117.03406000000001,32.54768
209,209,2015046101,7 ELEVEN STORE 27263E,CORP,RETAILERS,-117.09769399999999,32.789856
210,210,2016004006,7 ELEVEN STORE 34274A,CORP,RETAILERS,-117.20403,32.790524
211,211,2013060487,7 STARS TEST ONLY,SOLE,AUTOMOTIVE,-117.15278,32.821766
212,212,2002001205,7 SUMMITS SPORTS INC,CORP,WHOLESALE,-117.22253400000001,32.944534000000004
213,213,1998002596,7-ELEVEN #2121-19628E,SOLE,RETAILERS,-117.129585,32.728115
214,214,2000008985,7-ELEVEN #2131-269100,SOLE,RETAILERS,-117.14391,32.75525
215,215,1999009605,7-ELEVEN #21790,SOLE,RETAILERS,-117.119606,32.763344000000004
216,216,1999008328,7-ELEVEN #32290A,H-W,RETAILERS,-116.96278000000001,32.56766
217,217,1999008864,7-ELEVEN #32708,CORP,BARS,-117.09016000000001,32.977505
218,218,2008019384,7-ELEVEN 13598,H-W,RETAILERS,-117.21741499999999,32.80376
219,219,2003003857,7-ELEVEN 16073C 2121,SOLE,RETAILERS,-117.12895,32.762553999999994
220,220,2008006723,7-ELEVEN 27659,SOLE,RETAILERS,-117.20783,32.75033
221,221,2018028312,7-ELEVEN 27664C,CORP,RETAILERS,-117.140755,32.7158
222,222,2001002822,7-ELEVEN 32131B,PARTNR,RETAILERS,-117.14452,32.905342
223,223,2008012749,7-ELEVEN 33694,SOLE,RETAILERS,-117.082504,32.790913
224,224,2009038565,7-ELEVEN 34243,CORP,RETAILERS,-117.20697,32.752559999999995
225,225,2005005983,7-ELEVEN 39060,SCORP,RETAILERS,-117.09908,32.8223
226,226,1978034555,7-ELEVEN FOOD STORE #20174T/2021,CORP,RETAILERS,-117.057106,32.767075
227,227,2005011625,7-ELEVEN INC STORE #32606C-2121,SOLE,RETAILERS,-117.12123999999999,32.80829
228,228,2005015463,7-ELEVEN STORE #13603,CORP,RETAILERS,-117.25431,32.805473
229,229,2003020359,7-ELEVEN STORE #20722B-2121,SOLE,RETAILERS,-117.08076000000001,32.805977
230,230,2000010703,7-ELEVEN STORE 13609A,SOLE,RETAILERS,-117.13978600000002,32.76095
231,231,2016005115,7-ELEVEN STORE 13613B,CORP,RETAILERS,-117.22856000000002,32.802498
232,232,2014021545,7-ELEVEN STORE 13623,CORP,RETAILERS,-117.24615,32.79861
233,233,2019004871,7-ELEVEN STORE 22872-D,SOLE,RETAILERS,-117.224525,32.730103
234,234,2003016605,7-ELEVEN STORE NO. 32940B-2121,CORP,RETAILERS,-117.15991000000001,32.71676
235,235,2000005136,7-ELEVEN STORES,SOLE,RETAILERS,-117.1559,32.793056
236,236,1997002702,7/24 BAIL BONDS,CORP,civic & social organizations,-117.08436999999999,33.014084000000004
237,237,2019006492,7/24 HOME CARE,SOLE,services for elderly & disabled persons,-117.0108,32.738735
238,238,2017007964,72 DEGREES PRINTING & APPAREL,SOLE,RETAILERS,-117.009224,32.80296
239,239,2019006171,724 CUSTODIAL CARE,SOLE,all other personal services,-117.05386000000001,32.767567
241,241,2003025371,7510 HAZARD LLC,LLC,PROPERTY SERVICES,-117.15668000000001,32.77089
242,242,2018016932,76 SAKURA ALLEY,SOLE,SPORTS,-117.11183999999999,32.752045
243,243,2007019450,760 LLC,LLC,PROPERTY SERVICES,-117.21735,32.895016
244,244,2014023685,7625 MESA COLLEGE DRIVE LLC,LLC,PROPERTY SERVICES,-117.15758500000001,32.800804
245,245,2009021903,777 NOODLE HOUSE,LLC,limited-service eating places,-117.09383999999999,32.749559999999995
246,246,2016011170,7980 MIRAMAR LLC,LLC,PROPERTY SERVICES,-117.14765,32.886959999999995
247,247,2016011280,7SHERPAS,LLC,all other personal services,-117.2255,32.860626
248,248,2011000540,802 6TH AVE LLC,LLC,FOOD SERVICES,-117.159874,32.71363
249,249,2016020088,828 EVENTS INC,CORP,PROPERTY SERVICES,-117.210434,32.7404
250,250,2014033715,83 PLUS PRODUCTIONS,SOLE,ART AND PHOTOGRAPHY,-117.169174,32.717896
251,251,2017012597,832 WOODWORKING,SOLE,MANUFACTURING,-117.06771,33.025420000000004
252,252,2007019703,8510-20 MIRALANI DRIVE LLC,LLC,PROPERTY SERVICES,-117.16272,32.708046
253,253,2015051328,860 GARNET OPERATIONS LLC,LLC,FOOD SERVICES,-117.25441000000001,32.796803000000004
254,254,2016003022,888 CLEANERS,SCORP,CLEANING SERVICES,-117.07779,32.980724
255,255,2016003010,888 CLEANERS,SCORP,CLEANING SERVICES,-117.09781000000001,32.7912
256,256,2017000540,8ANGLESTRENGTH,SOLE,FITNESS SERVICES,-117.21418999999999,32.866676
257,257,2018005017,9 MARTIAL ARTS AND WELLNESS,SOLE,ART AND PHOTOGRAPHY,-117.043144,32.672924
258,258,2006014389,9-1-1 & A-1 & LOCAL APPLIANCE REPAIR,H-W,REPAIR SERVICES,-117.10455,32.735424
259,259,2007018257,9025 BALBOA LLC,LLC,PROPERTY SERVICES,-117.13566000000002,32.821484000000005
260,260,2018024804,911 LANDSCAPING AND HANDYMAN,SOLE,landscaping services,-117.11433400000001,32.750183
261,261,2019002513,911 STUDIO SALON,SOLE,RETAILERS,-117.0001,32.645374
262,262,2006015376,9194 CHESAPEAKE DRIVE LLC,LLC,SCIENCE,-117.13055,32.83838
263,263,2015043862,92101 URBAN LIVING,CORP,PROPERTY SERVICES,-117.15971,32.717815
265,265,2018020299,933 WHOLESALE LLC,LLC,WHOLESALE,-117.03663,33.279263
266,266,2014027228,9411 ASSOCIATES LLC,LLC,PROPERTY SERVICES,-117.12326000000002,32.94804
267,267,2018005933,94TH AERO SQUADRON,CORP,FOOD SERVICES,-117.137726,32.820686
268,268,1999011877,99 CENT ONLY STORES #73,CORP,RETAILERS,-117.08696,32.671196
269,269,2001012343,99 CENTS ONLY STORES,CORP,RETAILERS,-117.20173999999999,32.830444
270,270,1999012600,99 CENTS ONLY STORES #99,CORP,RETAILERS,-117.03761999999999,32.550426
271,271,1995012170,99 RANCH MARKET,CORP,RETAILERS,-117.16046000000001,32.832676
272,272,2017011754,9FIVE,LLC,CLOTHING,-117.13006999999999,32.746838000000004
273,273,2016008396,9ROUND KEARNY MESA,LLC,SPORTS,-117.14903000000001,32.820267
274,274,2017014336,9ROUND KICKBOX FITNESS,LLC,FITNESS SERVICES,-117.15113000000001,32.711535999999995
275,275,2011000354,@ HOME PET CARE,PARTNR,PET SERVICES,-117.13623999999999,32.95047
276,276,2016016516,A &  P DRYWALL INC,CORP,CONSTRUCTION,-117.032845,33.24644
277,277,2003015541,A & A ,SOLE,AUTOMOTIVE,-117.03373,32.68658
278,278,1974011590,A & A CONSTRUCTION CO INC,CORP,"building, developing & general contracting",-117.17728000000001,32.90062
279,279,2008041054,A & A HANDYMAN SERVICES,SOLE,other services to buildings & dwellings,-117.15621000000002,32.716770000000004
280,280,1995012022,A & A LABS LLC/SYNTHETIC BIOMOLECULES,LLC,SCIENCE,-117.188934,32.89934
281,281,2004016565,A & A TIRES & WHEELS & COMPANY INC,CORP,tire dealers,-116.96337,32.56767
282,282,1984012494,A & B AUTO SERVICE/SWEDISH AUTO A.B.,PARTNR,AUTOMOTIVE,-117.18043,32.738827
283,283,1993008148,A & B CAB COMPANY,SOLE,TRANSPORTATION,-117.12233,32.930492
284,284,1998006699,A & B CORE SUPPLY CO,CORP,AUTOMOTIVE,-117.13271,32.705357
285,285,1986003719,A & B LANDSCAPING,CORP,CONSTRUCTION,-116.85895,33.071156
286,286,2016002183,A & B TRANSPORTATION,CORP,TRANSPORTATION,-117.38276,33.673355
287,287,2007001849,A & C CARPENTRY,H-W,services to buildings & dwellings,-116.98443600000002,32.708942
